,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
121,4720.9956,4815.061,11.141,-0.000678463609550641,-2.056863241933509e-06,3,3.539,2.596,-42.12,4720,4816,266.8335704,-28.3850694,0.004088359884917736,0.00017223251052200794
122,4670.9868,4817.4424,13.376,-0.0038550872500612804,-2.554683999567071e-06,0,3.54,2.951,-9.69,4670,4817,266.8343598,-28.3850555,0.013939197175204754,0.00018057113629765809
123,5102.7158,4821.9316,7.42,-0.0006460069377699818,-2.986724015456992e-06,3,5.826,3.301,-7.6,5102,4822,266.8275398,-28.384986,0.001520685967989266,0.00014670721429865807
124,5106.082,4855.0273,10.943,-0.0011088471612416908,-4.549098227874468e-06,3,8.291,6.138,25.11,5106,4858,266.8274767,-28.384486,0.0015073645627126098,0.00014670721429865807
125,4702.4058,4897.0464,11.082,-0.028980128377195182,-4.8254718640111235e-06,3,9.3,5.156,-81.11,4703,4877,266.8338388,-28.3842222,0.017216522246599197,0.00017223251052200794
126,5096.1362,5050.9946,14.411,-0.058915084078003326,-1.2875708750973414e-05,3,15.621,14.603,-83.39,5092,5059,266.8276978,-28.3816944,0.012540130876004696,0.00018205569358542562
127,4494.3555,4882.5068,29.354,-0.005572785269560376,-4.811859822457599e-06,3,8.6,6.111,-36.79,4496,4883,266.8371066,-28.3841388,0.003577056573703885,0.00018962397007271647
128,4400.6484,4836.3408,20.805,-0.00058798421372446,-2.7938242684542542e-06,1,5.094,3.195,4.15,4402,4837,266.8385906,-28.3847776,0.0019701020792126656,0.00018962397007271647
129,4692.1494,4850.5259,6.43,-0.050027996986727066,-2.764321763752099e-06,3,5.238,3.488,9.99,4692,4850,266.8340124,-28.3845972,0.057136666029691696,0.00018057113629765809
130,5016.6499,4914.5786,14.174,-0.0009390397367087166,-3.7334050193212404e-06,3,7.237,4.578,73.18,5016,4914,266.8288975,-28.3837083,0.003282116958871484,0.00017859903164207935
131,4698.6948,4863.6118,7.541,-0.06561869860337893,-3.2597413793975115e-06,3,5.471,4.445,-8.94,4699,4864,266.8339019,-28.3844028,0.054683391004800797,0.00018057113629765809
132,5077.1343,4880.6567,7.864,-0.0018768178033340558,-3.729010062606959e-06,3,7.939,3.939,24.31,5077,4880,266.8279345,-28.3841805,0.003033359069377184,0.00017138772818725556
133,5087.1567,4900.6323,8.522,-0.0012045847342489677,-3.5255772503799976e-06,3,6.666,4.26,72.45,5087,4901,266.8277767,-28.3838888,0.002257714280858636,0.00017859903164207935
134,4582.5747,4896.0796,6.75,-0.0028267201225776785,-2.0328058671814273e-06,3,4.093,2.673,43.05,4583,4896,266.8357332,-28.3839583,0.006370575167238712,0.00018588984676171094
135,4647.7109,4969.2637,34.299,-0.002911101098191243,-4.097751421979354e-06,3,9.017,4.179,-74.08,4639,4977,266.8348491,-28.3828333,0.003815824631601572,0.00018443053704686463
136,4663.0376,4922.3936,19.241,-0.002814574981381856,-3.141911002355729e-06,3,4.538,4.273,-88.05,4662,4922,266.834486,-28.3835972,0.0033926561009138823,0.00018443053704686463
137,5073.938,4938.5107,11.367,-0.001054304996428665,-3.6803203550060237e-06,3,6.484,4.408,20.81,5074,4938,266.8279819,-28.3833749,0.0018494980176910758,0.00017859903164207935
138,4785.374,4937.1079,7.549,-0.001324504491259124,-3.6309784015714215e-06,19,11.597,3.284,-4.48,4815,4929,266.8320707,-28.3835,0.002387353451922536,0.0001933811290655285
139,5023.0576,4935.9946,8.103,-0.00032376156758533815,-2.6553993206019775e-06,3,5.2,3.008,27.7,5023,4936,266.828787,-28.3834027,0.0021600285544991493,0.00017859903164207935
140,4695.4092,4966.4937,14.317,-0.00704344034907471,-5.792266775910829e-06,3,10.281,6.623,17.32,4695,4966,266.833965,-28.3829861,0.003603930352255702,0.00018443053704686463
141,5045.6685,4945.1431,29.863,-0.001180071466292089,-3.971761444336259e-06,19,9.956,3.266,13.65,5095,5013,266.8276504,-28.3823333,0.0025151455774903297,0.00018205569358542562
142,5107.8467,4993.2642,14.427,-0.0033273347274571296,-4.763911137144873e-06,3,8.329,5.482,-24.61,5109,4992,266.8274294,-28.3826249,0.0016763345338404179,0.00014130833733361214
143,4903.6738,4994.9102,31.064,-0.0028948602291543903,-3.867167636666732e-06,3,6.862,4.764,33.91,4904,4995,266.8306657,-28.3825833,0.0021774841006845236,0.00021366908913478255
144,5061.2178,5023.1787,14.202,-0.005422523287030982,-5.31080073006171e-06,3,9.207,6.661,-8.27,5060,5024,266.828203,-28.3821805,0.0028242713306099176,0.00018205569358542562
145,4653.4595,5118.9297,86.408,-0.004957563917367905,-7.484356443775545e-06,3,24.695,8.842,61.67,4637,5082,266.8348806,-28.381375,0.002151455031707883,0.00018682041263673455
146,5080.5356,5008.0791,15.938,-0.000984435837846133,-2.0084597078448632e-06,3,3.723,2.687,-16.49,5080,5008,266.8278872,-28.3824027,0.0024556817952543497,0.00018205569358542562
147,3967.749,5179.2578,15.686,-0.009754861267993938,-1.0491115738379414e-05,2,18.276,12.645,15.32,3968,5179,266.8454415,-28.3800271,0.0018291330197826028,0.00017530629702378064
148,4736.124,5192.8735,10.004,-0.00607811129310383,-5.68366706128369e-06,3,7.602,6.626,6.81,4736,5193,266.8333178,-28.3798333,0.002792632207274437,0.00020065958960913122
149,4762.2832,5192.6719,8.378,-0.0035877912675087924,-4.976042475273662e-06,3,7.494,6.09,89.45,4763,5194,266.8328915,-28.3798194,0.0021005573216825724,0.00020065958960913122
150,6789.7026,5165.3423,6.811,-0.00020400583813030935,-2.811377462375018e-06,0,6.198,2.989,17.96,6790,5166,266.8008929,-28.3802047,0.0005184492329135537,5.034352943766862e-05
151,4727.585,5318.6094,7.656,-0.005596034256361684,-5.981679174893369e-06,3,8.87,6.626,53.75,4726,5318,266.8334756,-28.3780972,0.00453958148136735,0.00016834308917168528
152,6771.7837,5221.7993,8.36,-7.228205039554743e-05,-1.925084517239819e-06,0,3.267,2.698,-3.75,6773,5222,266.8011615,-28.379427,0.0005877750809304416,4.763433389598504e-05
153,6670.2612,5281.6899,7.81,-0.00021998225777551428,-2.782060866012963e-06,0,4.722,2.646,-6.05,6670,5281,266.8027877,-28.3786079,0.0005651405081152916,5.0797691073967144e-05
154,6772.0,5298.3325,9.777,-8.601206019072564e-05,-1.7927663450311744e-06,16,5.271,1.44,-3.84,6773,5298,266.8011618,-28.3783715,0.0006211602594703436,4.551001620711759e-05
155,6966.4438,5333.2725,6.857,-0.00020382395084138537,-2.6553993206019775e-06,16,6.566,2.458,-7.47,6966,5333,266.7981153,-28.3778846,0.0005482229171320796,4.775171692017466e-05
