,Unnamed: 0,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide,cenf_006,cenf_096,cene_006,cene_096
269,269,4530.4604,6108.8564,3.403,2.156,-55.93,4.771,0.5577433903677133,0.008763919728852166,-1,1.3374724,1.9562614,1.3374724,1.6203907
270,270,3206.5754,6115.5859,4.914,3.3939999999999997,-31.45,8.925,1.1934766222888034,0.012301672434355941,-1,8.0968,6.701877,8.0968,0.698844
271,271,4559.436,6122.0757,3.2319999999999998,3.082,-22.63,4.618,0.8018701778314049,0.009827423238952526,-1,1.823294,1.4379721,1.783621,1.6067424
272,272,4545.855,6127.7837,4.104,3.554,3.08,4.628,1.0487778863026138,0.01179677005739006,250,2.3139048,1.5532764,2.3136148,1.6067424
273,273,4531.4263,6117.625,2.735,2.44,-86.21,5.452999999999999,0.4727981273906753,0.00813387195300663,-1,1.7535355,1.944124,1.7535355,1.6067424
274,274,3929.1836,6227.0259,10.115,8.052999999999999,-53.34,11.026,33.26432404421056,0.034827158952188346,235,15.333558,20.514555,15.333558,1.0863099
275,275,4040.7224,6276.6230000000005,17.94,10.552999999999999,-40.35,11.440999999999999,28.32707128222129,0.04416531826674941,-1,20.943548,20.439537,20.943548,1.1660947
276,276,4689.4292,6148.2812,2.955,1.68,-74.83,4.0169999999999995,0.5377609622366116,0.007296031313555135,-1,0.82812005,1.2374173,0.6947883,1.5516299
277,277,4099.6792,6247.5479,12.409,4.622,50.32,18.89,6.032171111904432,0.02312146970257301,258,6.5702095,7.9555697,6.5702095,1.1751385
278,278,4667.438,6180.9971,3.716,2.3819999999999997,88.43999999999998,5.39,0.8099682605706995,0.00951286191537135,-1,0.24436358,1.6157328,-0.1868618,1.5562778
279,279,4008.0659,6259.585,8.615,8.048999999999998,70.54,11.376,27.39045097207881,0.02624833436659045,264,35.36325,36.133793,35.36325,1.1579367
280,280,5249.2275,6233.5117,2.929,2.113,-9.71,4.8389999999999995,0.4991607806027143,0.008086989980743925,-1,0.06947489,1.7649972,-0.07862655,0.9146433
281,281,4046.8955,6311.8262,8.737999999999998,6.346,-59.97,14.671,4.921768058246342,0.022061121118494818,266,9.9888735,9.235465,9.9888735,1.0557002
282,282,5272.6006,6278.0732,4.232,2.589,-2.05,5.885,0.9479160171508728,0.010856837558134904,-1,0.12259822,3.013953,0.033839907,0.9146433
283,283,4019.6001,6293.6875,4.746,2.6039999999999996,-14.56,-13.936000000000005,1.3939194131847847,0.010056886780715821,-1,17.50347,17.34421,17.50347,1.1454815
284,284,3894.1492,6337.7017,8.617,4.355,-37.19,12.742,3.2165626108735,0.0177219952392395,251,3.1846483,4.2166524,3.1846483,0.90286475
285,285,3899.4878,6348.376,6.912000000000001,4.468,-23.41,10.544,2.773708869473257,0.01681934902803257,251,3.4666624,3.7831135,3.4666624,0.91602695
286,286,4144.3135,6348.646,3.972,3.1630000000000003,77.95,6.172000000000001,1.3687696186120146,0.01189307832543544,272,2.558495,3.5483294,2.535785,1.0804493
287,287,3456.0771,6456.5605,11.597000000000001,5.416,-86.45,13.267000000000001,9.812224068753792,0.027755072915193142,-1,6.401769,7.159109,6.401769,0.61993855
288,288,4106.7515,6408.9956,4.751,4.418,-58.31,13.147,1.5495105949584824,0.014539851281065743,-1,1.0287105,3.4653451,1.0110369,0.8377798
289,289,4065.0085,6384.8955,2.7910000000000004,2.249,83.53,6.341,0.4659808163459306,0.008039835653408295,-1,1.6019099,3.1493719,1.4994711,1.0540968
290,290,3671.8467,6442.2046,5.859,4.173,-12.97,16.14,3.577698409054395,0.019382113622136692,-1,0.04469179,3.4620101,-0.012274148,0.60365856
291,291,4122.9624,6415.2485,3.6660000000000004,3.386,60.94,10.554,0.8775588825879888,0.011235481394681135,-1,0.48876274,2.7211158,0.46858898,0.82329154
292,292,3548.3906,6468.8408,6.612,4.136,-25.08,11.24,2.88631187796233,0.01759279350690276,-1,0.21166638,3.7997189,0.19333215,0.63571405
293,293,3486.3340000000003,6470.7417,4.704,3.109,-2.22,9.978,2.201064757352852,0.014565979796771544,-1,0.00011852844,3.9536855,-0.6084056,0.61993855
294,294,3764.3101,6476.4561,4.9830000000000005,2.928,13.37,10.761,1.1185842486228628,0.012270729383812623,-1,0.3971138,2.6080213,0.3523829,0.8230285
295,295,3728.8906,6506.0264,3.2889999999999997,2.957,5.87,8.958999999999998,1.033999548619788,0.010536934560865392,-1,0.020189065,2.3656127,-0.18037686,0.7561428
296,296,4521.77,6544.71,11.466,3.938,-26.19,12.647,4.4927842185760065,0.02114591143134328,-1,0.2510478,3.8208802,0.2357494,0.8508309
297,297,3680.9775,6529.9888,3.1289999999999996,2.293,-37.99,8.184,0.5771206630980698,0.00867671427019575,-1,0.03949377,1.2541087,-0.53392893,0.55680615
298,298,4023.4517,6635.2505,3.525,3.0780000000000003,-21.06,5.245,1.6425804733303069,0.011503030718416402,-1,0.024639245,1.7695473,-0.10821305,0.67352545
299,299,3780.5659,6809.2568,4.563,3.937,30.04,8.564999999999998,2.609646566366832,0.014977824595272115,-1,0.008015119,3.667378,-0.2388417,0.5150165
300,300,4155.1387,6974.0249,6.952000000000001,4.955,-48.5,12.187000000000001,3.369348535396068,0.01896567392998644,-1,0.12654668,3.2549496,-0.056127608,0.53144705
301,301,4549.3716,7154.0225,3.705,3.158,-13.47,7.412000000000001,1.1360580229628972,0.011336551483678951,-1,0.15451556,1.9732586,0.064641446,0.53079003
302,302,4528.6309,7197.9194,2.805,2.3569999999999998,-36.06,5.0969999999999995,0.5815705057072929,0.008454765971315689,-1,0.34372312,1.1699339,0.34372312,0.5110575
303,303,2814.5024,7361.8867,10.825,4.04,88.79999999999998,16.64,4.324662067753492,0.0209653224466988,-1,4.948822,4.5577006,4.948822,0.4880678
304,304,2717.1328,7369.690899999999,10.334000000000001,4.529,74.12999999999998,18.814,4.473386387430466,0.02194015153787844,-1,4.4310904,4.8605537,4.4310904,0.5496083
305,305,2795.3125,7400.0728,8.675,5.646,-59.65,12.677,5.437155226955095,0.02315432802427432,278,4.586977,5.0356317,4.586977,0.4988212
306,306,2824.3101,7399.2397,6.042000000000001,4.441,7.679999999999999,9.923,5.025283192947224,0.019479959378496968,-1,1.2614192,5.1770616,1.260629,0.46209115
307,307,2811.6833,7389.446299999999,4.0280000000000005,3.077,65.39,16.468,1.3350696318788935,0.010464514468409809,-1,4.293481,5.191556,4.293481,0.48693332
308,308,569.6481,7476.582999999999,3.346,2.593,6.12,5.792000000000001,1.076399083520993,0.009788652176474484,-1,0.0,1.3476478,-0.14576508,0.0
309,309,605.5397,7569.7969,4.907,1.68,46.89,6.468999999999999,0.7555239543540874,0.009228830716900352,-1,0.00076394633,1.56177,-0.07222204,0.0
310,310,3059.2241,7754.6099,3.7119999999999997,3.035,38.76,5.9670000000000005,1.2975663383370843,0.011436734222277879,-1,0.040194787,2.4429827,-0.048462052,0.47641858
311,311,770.8631,7816.1816,3.258,2.247,-34.45,4.178,0.8155620823426841,0.008893122339753659,-1,0.042357046,0.73828757,0.018830085,0.0
312,312,825.4113,7848.3418,3.092,1.626,-21.86,4.74,0.4526774131677079,0.007296031313555135,-1,0.013150956,0.2935113,-0.047196895,0.5006356
313,313,772.9738,7878.8818,3.906,2.479,64.54,5.462999999999999,1.0679121480227407,0.010094621136787241,-1,0.0029767908,0.9412058,-0.15422146,0.0
314,314,970.7416,7917.248499999999,2.472,1.755,21.81,3.83,0.34483218423321305,0.006754812584026547,-1,0.012317804,0.56473047,-0.04676937,0.9935792
315,315,1174.5410000000002,7966.9595,2.9810000000000003,1.969,-51.08,4.954,0.45067674551588394,0.007799786284955722,-1,0.039864816,1.0537183,0.025929587,0.79216605
